거래금액,전용면적,년,면적 당 금액
"30,000",74.46,202101,402.9
"75,000",84.552,202101,887.03
"69,500",59.9,202101,1160.27
"83,000",59.38,202101,1397.78
"91,000",84.97,202101,1070.97
"66,850",59.98,202101,1114.54
"38,500",56.1,202101,686.27
"81,800",59.6,202101,1372.48
"79,720",59.6,202101,1337.58
"60,000",60,202101,1000
"52,500",98.22,202101,534.51
"101,300",84.29,202101,1201.8
"71,500",84.705,202101,844.11
"60,700",60,202101,1011.67
"54,700",59.67,202101,916.71
"59,800",59.67,202101,1002.18
"67,000",59.98,202101,1117.04
"67,000",59.98,202101,1117.04
"69,500",59.98,202101,1158.72
"90,000",84.97,202101,1059.2
"88,500",84.97,202101,1041.54
"77,500",84.76,202101,914.35
"105,000",114.88,202101,914
"92,000",59.818,202101,1538
"52,000",84.9,202101,612.49
"99,500",114.88,202101,866.12
"52,000",84.9,202101,612.49
"74,000",84.76,202101,873.05
"79,800",59.82,202101,1334
"109,500",114.88,202101,953.17
"56,500",59.67,202101,946.87
"74,000",84.92,202101,871.41
"14,000",18.6479,202101,750.75
"70,000",84.89,202101,824.6
"74,200",84.705,202101,875.98
"76,800",84.76,202101,906.09
"91,500",84.99,202101,1076.6
"90,300",84.97,202101,1062.73
"90,000",84.97,202101,1059.2
"80,000",84.873,202101,942.58
"89,000",114.88,202101,774.72
"52,500",59.67,202101,879.84
"59,800",59.67,202101,1002.18
"95,000",74.628,202101,1272.98
"60,000",59.67,202101,1005.53
"94,700",84.29,202101,1123.5
"61,000",60,202101,1016.67
"71,500",84.89,202101,842.27
"77,000",84.552,202101,910.68
"135,000",114.475,202101,1179.3
"66,000",59.98,202101,1100.37
"83,000",84.99,202101,976.59
"93,000",114.88,202101,809.54
"55,000",59.67,202101,921.74
"75,000",84.76,202101,884.85
"109,000",114.88,202101,948.82
"88,250",114.88,202101,768.19
"75,900",84.705,202101,896.05
"79,500",59.96,202101,1325.88
"85,000",114.922,202101,739.63
"71,700",84.89,202101,844.62
"104,500",84.98,202101,1229.7
"90,000",114.85,202101,783.63
"89,400",84.92,202101,1052.76
"88,000",84.97,202101,1035.66
"77,000",84.71,202101,908.98
"66,000",59.98,202101,1100.37
"59,500",59.98,202101,992
"89,900",129.784,202101,692.69
"92,000",84.93,202101,1083.25
"56,300",49.94,202101,1127.35
"39,500",41.3,202101,956.42
"65,000",71.89,202101,904.16
"54,700",59.22,202101,923.67
"45,500",71.05,202101,640.39
"68,600",84.93,202101,807.72
"38,000",59.94,202101,633.97
"43,500",41.3,202101,1053.27
"70,500",84.88,202101,830.58
"44,000",41.3,202101,1065.38
"44,400",71.1,202101,624.47
"60,000",49.94,202101,1201.44
"64,500",76.51,202101,843.03
"43,000",59.94,202101,717.38
"49,000",41.3,202101,1186.44
"68,500",84.41,202101,811.52
"44,900",59.96,202101,748.83
"71,500",84.88,202101,842.37
"42,800",71.1,202101,601.97
"57,200",76.08,202101,751.84
"74,800",84.9909,202101,880.09
"51,000",59.64,202101,855.13
"63,000",84.96,202101,741.53
"64,400",76.51,202101,841.72
"24,300",27.39,202101,887.19
"48,000",63.78,202101,752.59
"46,000",59.83,202101,768.85
"52,500",63.78,202101,823.14
"62,100",84.92,202101,731.28
"24,300",27.39,202101,887.19
"24,300",27.39,202101,887.19
"24,300",27.39,202101,887.19
"59,000",84.99,202101,694.2
"24,300",27.39,202101,887.19
"76,000",122.58,202101,620
"24,400",27.39,202101,890.84
"24,300",27.39,202101,887.19
"46,000",57.46,202101,800.56
"24,300",27.39,202101,887.19
"24,300",27.39,202101,887.19
"24,300",27.39,202101,887.19
"24,100",27.39,202101,879.88
"74,000",84.993,202101,870.66
"46,500",57.21,202101,812.79
"49,000",84.98,202101,576.61
"80,000",84.92,202102,942.06
"89,000",84.97,202102,1047.43
"73,000",84.91,202102,859.73
"76,000",84.89,202102,895.28
"77,500",84.86,202102,913.27
"80,500",59.96,202102,1342.56
"75,000",84.86,202102,883.81
"76,000",59.99,202102,1266.88
"73,000",59.99,202102,1216.87
"93,800",84.97,202102,1103.92
"108,000",84.67,202102,1275.54
"63,000",59.964,202102,1050.63
"14,500",18.6479,202102,777.57
"92,800",59.818,202102,1551.37
"81,000",84.873,202102,954.37
"76,700",84.86,202102,903.84
"74,800",84.552,202102,884.66
"62,700",60,202102,1045
"93,000",114.85,202102,809.75
"59,800",60,202102,996.67
"60,000",59.67,202102,1005.53
"75,000",84.71,202102,885.37
"83,000",59.96,202102,1384.26
"79,500",84.705,202102,938.55
"74,000",84.705,202102,873.62
"83,000",84.92,202102,977.39
"74,000",84.76,202102,873.05
"105,000",84.98,202102,1235.58
"58,700",59.67,202102,983.74
"67,900",59.98,202102,1132.04
"35,000",59.27,202102,590.52
"84,000",59.36,202102,1415.09
"92,000",114.88,202102,800.84
"74,700",84.705,202102,881.88
"13,900",18.6479,202102,745.39
"77,000",84.76,202102,908.45
"89,500",84.97,202102,1053.31
"79,800",59.6,202102,1338.93
"66,800",59.98,202102,1113.7
"68,800",84.89,202102,810.46
"58,000",49.94,202102,1161.39
"68,000",84.86,202102,801.32
"55,900",84.67,202102,660.21
"37,900",41.3,202102,917.68
"60,000",49.94,202102,1201.44
"58,000",49.94,202102,1161.39
"67,000",84.7848,202102,790.24
"60,000",49.94,202102,1201.44
"60,000",62.17,202102,965.1
"58,000",49.94,202102,1161.39
"59,500",49.94,202102,1191.43
"52,700",59.98,202102,878.63
"40,000",44.89,202102,891.07
"42,000",44.89,202102,935.62
"70,000",79.07,202102,885.29
"60,000",84.96,202102,706.21
"49,000",41.3,202102,1186.44
"74,800",84.9909,202102,880.09
"59,800",49.94,202102,1197.44
"43,000",59.94,202102,717.38
"60,000",49.94,202102,1201.44
"48,500",59.82,202102,810.77
"42,000",112.29,202102,374.03
"47,400",59.82,202102,792.38
"55,000",59.77,202102,920.19
"60,000",49.94,202102,1201.44
"60,000",49.94,202102,1201.44
"73,000",79.07,202102,923.23
"68,000",117.2775,202102,579.82
"50,000",58.65,202102,852.51
"72,000",84.79,202102,849.16
"50,500",49.94,202102,1011.21
"61,500",49.94,202102,1231.48
"63,000",76.51,202102,823.42
"48,000",59.43,202102,807.67
"59,000",49.94,202102,1181.42
"58,900",84.96,202102,693.27
"43,000",44.89,202102,957.9
"59,400",84.67,202102,701.55
"45,000",59.43,202102,757.19
"67,500",117.2775,202102,575.56
"37,500",54.15,202102,692.52
"24,900",54.66,202102,455.54
"32,500",50.16,202102,647.93
"29,900",43.04,202102,694.7
"58,450",84.99,202102,687.73
"17,000",36.33,202102,467.93
"55,000",63.78,202102,862.34
"42,500",56.01,202102,758.79
"26,200",65.82,202102,398.06
"58,450",84.99,202102,687.73
"38,500",84.97,202102,453.1
"85,200",114.78,202102,742.29
"40,500",66.28,202102,611.04
"40,500",66.28,202102,611.04
"55,000",84.92,202102,647.67
"55,700",84.99,202102,655.37
"14,200",19,202102,747.37
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"12,000",15.3,202102,784.31
"10,000",14.92,202102,670.24
"9,300",12.9,202102,720.93
"17,200",29.47,202102,583.64
"56,600",84.99,202102,665.96
"50,500",63.78,202102,791.78
"78,500",122.58,202102,640.4
"80,000",122.58,202102,652.64
"64,800",84.93,202102,762.98
"49,000",84.98,202102,576.61
"68,600",59.98,202103,1143.71
"14,450",18.6479,202103,774.89
"87,800",114.85,202103,764.48
"83,500",84.97,202103,982.7
"85,000",59.96,202103,1417.61
"73,000",84.86,202103,860.24
"73,000",84.873,202103,860.11
"74,800",84.552,202103,884.66
"73,500",59.68,202103,1231.57
"60,500",59.67,202103,1013.91
"85,300",58.99,202103,1446.01
"60,000",59.67,202103,1005.53
"79,500",84.92,202103,936.18
"88,000",59.36,202103,1482.48
"75,000",84.76,202103,884.85
"94,200",114.85,202103,820.2
"72,000",84.705,202103,850.01
"71,500",59.758,202103,1196.49
"74,900",84.76,202103,883.67
"68,500",59.98,202103,1142.05
"67,500",59.98,202103,1125.38
"69,500",148.54,202103,467.89
"87,100",84.97,202103,1025.07
"68,000",59.98,202103,1133.71
"85,600",59.99,202103,1426.9
"89,500",84.97,202103,1053.31
"64,800",59.98,202103,1080.36
"76,500",84.76,202103,902.55
"100,000",84.67,202103,1181.06
"75,000",84.705,202103,885.43
"73,800",84.76,202103,870.69
"77,500",84.705,202103,914.94
"102,000",84.36,202103,1209.1
"79,000",59.54,202103,1326.84
"90,900",114.88,202103,791.26
"90,500",114.88,202103,787.78
"69,000",59.758,202103,1154.66
"76,700",84.705,202103,905.5
"84,500",59.36,202103,1423.52
"85,500",84.99,202103,1006
"88,500",59.97,202103,1475.74
"74,000",84.89,202103,871.72
"61,500",59.758,202103,1029.15
"66,900",59.98,202103,1115.37
"79,500",84.92,202103,936.18
"85,500",84.97,202103,1006.24
"63,500",84.93,202103,747.67
"60,000",84.6,202103,709.22
"48,000",59.9,202103,801.34
"63,900",84.97,202103,752.03
"58,700",84.67,202103,693.28
"46,000",41.3,202103,1113.8
"54,500",126.67,202103,430.25
"48,700",41.3,202103,1179.18
"50,000",59.43,202103,841.33
"59,400",84.67,202103,701.55
"68,500",71.89,202103,952.84
"43,850",44.89,202103,976.83
"60,000",49.94,202103,1201.44
"50,500",49.94,202103,1011.21
"47,000",41.3,202103,1138.01
"47,000",41.3,202103,1138.01
"49,000",41.3,202103,1186.44
"59,000",49.94,202103,1181.42
"40,000",59.94,202103,667.33
"61,000",49.94,202103,1221.47
"74,300",84.88,202103,875.35
"50,000",41.3,202103,1210.65
"50,000",59.43,202103,841.33
"70,000",84.7848,202103,825.62
"60,500",84.83,202103,713.19
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"69,500",84.59,202103,821.61
"59,500",63.78,202103,932.89
"62,700",63.78,202103,983.07
"76,000",114.24,202103,665.27
"29,000",46.61,202103,622.18
"10,400",12.01,202103,865.95
"10,400",12.02,202103,865.22
"10,900",12.33,202103,884.02
"63,700",100.385,202103,634.56
"49,000",84.98,202103,576.61
"25,000",66.73,202103,374.64
"75,000",84.552,202104,887.03
"90,000",59.818,202104,1504.56
"73,500",59.6,202104,1233.22
"100,000",84.97,202104,1176.89
"89,000",129.784,202104,685.75
"85,000",84.873,202104,1001.5
"62,750",59.98,202104,1046.18
"54,000",81.02,202104,666.5
"82,800",84.76,202104,976.88
"84,400",59.6,202104,1416.11
"62,500",60,202104,1041.67
"78,500",84.705,202104,926.75
"99,000",84.18,202104,1176.05
"74,000",84.552,202104,875.2
"78,000",84.705,202104,920.84
"87,250",114.85,202104,759.69
"74,000",84.92,202104,871.41
"50,000",68.675,202104,728.07
"67,500",59.758,202104,1129.56
"62,800",60,202104,1046.67
"68,500",59.98,202104,1142.05
"83,500",59.36,202104,1406.67
"61,500",60,202104,1025
"76,500",84.86,202104,901.48
"66,000",59.98,202104,1100.37
"90,000",84.97,202104,1059.2
"62,400",59.67,202104,1045.75
"68,500",59.98,202104,1142.05
"80,000",84.705,202104,944.45
"65,100",59.67,202104,1091
"84,000",114.68,202104,732.47
"40,000",59.96,202104,667.11
"49,500",59.82,202104,827.48
"59,000",84.6,202104,697.4
"71,000",79.07,202104,897.94
"51,000",59.96,202104,850.57
"56,000",59.98,202104,933.64
"43,800",41.3,202104,1060.53
"46,000",41.3,202104,1113.8
"74,000",127.25,202104,581.53
"48,500",59.96,202104,808.87
"40,000",59.94,202104,667.33
"63,000",49.94,202104,1261.51
"70,000",84.93,202104,824.21
"72,300",84.88,202104,851.79
"50,900",41.3,202104,1232.45
"65,500",84.93,202104,771.22
"50,000",41.3,202104,1210.65
"52,600",84.9,202104,619.55
"53,500",59.77,202104,895.1
"79,000",127.25,202104,620.83
"61,000",49.94,202104,1221.47
"41,200",59.67,202104,690.46
"23,500",56.85,202104,413.37
"29,500",65.99,202104,447.04
"30,000",59.54,202104,503.86
"54,500",63.78,202104,854.5
"71,300",84.95,202104,839.32
"78,500",122.58,202104,640.4
"9,047",12.02,202104,752.66
"8,881",12.01,202104,739.47
"82,000",122.58,202104,668.95
"44,613",64.5,202104,691.67
"50,500",84.98,202104,594.26
"89,000",114.88,202105,774.72
"66,250",59.98,202105,1104.53
"67,000",59.98,202105,1117.04
"80,000",84.76,202105,943.84
"97,000",84.97,202105,1141.58
"75,000",84.705,202105,885.43
"94,500",114.85,202105,822.81
"91,000",84.97,202105,1070.97
"86,800",84.99,202105,1021.3
"105,000",84.29,202105,1245.7
"77,500",114.68,202105,675.79
"82,500",114.68,202105,719.39
"60,000",60,202105,1000
"107,500",84.98,202105,1265
"90,000",84.97,202105,1059.2
"100,500",84.97,202105,1182.77
"89,700",84.97,202105,1055.67
"66,800",59.98,202105,1113.7
"87,900",84.99,202105,1034.24
"81,000",84.92,202105,953.84
"38,900",47.82,202105,813.47
"73,000",59.964,202105,1217.4
"75,900",84.705,202105,896.05
"68,000",59.98,202105,1133.71
"117,500",114.88,202105,1022.81
"99,000",84.18,202105,1176.05
"74,900",84.705,202105,884.25
"68,800",59.98,202105,1147.05
"65,000",59.98,202105,1083.69
"80,500",84.92,202105,947.95
"79,000",84.76,202105,932.04
"118,000",113.89,202105,1036.09
"67,000",59.98,202105,1117.04
"68,000",59.98,202105,1133.71
"75,000",84.76,202105,884.85
"101,000",84.97,202105,1188.65
"70,500",84.9898,202105,829.51
"73,900",84.552,202105,874.02
"77,500",84.705,202105,914.94
"66,500",59.98,202105,1108.7
"102,500",84.67,202105,1210.58
"97,000",114.88,202105,844.36
"78,000",84.76,202105,920.25
"90,000",59.99,202105,1500.25
"79,500",84.76,202105,937.94
"108,500",84.15,202105,1289.36
"90,500",114.85,202105,787.98
"57,000",59.67,202105,955.25
"67,700",59.98,202105,1128.71
"73,400",84.552,202105,868.1
